Year,Movie Title,Distributor,Gross Revenue,Theaters,Release Date
 2002,Spider-Man,Sony Pictures Entertainment (SPE),"$403,706,375","3,615","May 3, 2002"
 2002,Mr. Deeds,Sony Pictures Entertainment (SPE),"$126,293,452","3,231","Jun 28, 2002"
 2002,The Ring,DreamWorks Distribution,"$129,128,133","1,981","Oct 18, 2002"
 2002,Minority Report,Twentieth Century Fox,"$132,072,926","3,001","Jun 21, 2002"
 2002,The Santa Clause 2,Walt Disney Studios Motion Pictures,"$139,236,327","3,350","Nov 1, 2002"
 2002,xXx,Revolution Studios,"$142,109,382","3,374","Aug 9, 2002"
 2002,Lilo & Stitch,Walt Disney Studios Motion Pictures,"$145,794,338","3,191","Jun 21, 2002"
 2002,Die Another Day,Metro-Goldwyn-Mayer (MGM),"$160,942,139","3,314","Nov 22, 2002"
 2001,The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,"$313,364,114","3,359","Dec 19, 2001"
 2002,Scooby-Doo,Warner Bros.,"$153,294,164","3,447","Jun 14, 2002"
 2001,A Beautiful Mind,Universal Pictures,"$170,742,341",11,"Dec 21, 2001"
 2002,Ice Age,Twentieth Century Fox,"$176,387,405","3,316","Mar 15, 2002"
 2002,Men in Black II,Sony Pictures Entertainment (SPE),"$190,418,803","3,557","Jul 3, 2002"
 2002,Austin Powers in Goldmember,New Line Cinema,"$213,307,889","3,613","Jul 26, 2002"
 2002,The Lord of the Rings: The Two Towers,New Line Cinema,"$339,789,881","3,622","Dec 18, 2002"
 2002,My Big Fat Greek Wedding,IFC Films,"$241,438,208",108,"Apr 19, 2002"
 2002,Signs,Walt Disney Studios Motion Pictures,"$227,966,634","3,264","Aug 2, 2002"
 2002,Harry Potter and the Chamber of Secrets,Warner Bros.,"$261,988,482","3,682","Nov 15, 2002"
 2002,Star Wars: Episode II - Attack of the Clones,Twentieth Century Fox,"$302,191,252","3,161","May 16, 2002"
